,id,catering,transportation,entertainment,healthcare
0,862664ccfffffff,28,9,5,4
1,862664d87ffffff,177,28,20,16
2,862664d8fffffff,390,88,95,23
3,862664cc7ffffff,123,22,19,10
4,862664c17ffffff,555,258,211,37
5,862664c8fffffff,29,10,9,14
6,862664cdfffffff,40,8,1,3
7,862664cefffffff,22,5,4,0
8,862664527ffffff,41,151,10,2
9,862664cd7ffffff,34,9,13,3
10,86275936fffffff,50,8,7,5
11,862664cafffffff,519,101,127,22
12,862759347ffffff,73,342,10,2
13,862664ce7ffffff,26,3,4,2
14,862664ca7ffffff,325,100,131,38
15,862664cb7ffffff,88,42,24,11
16,862664cf7ffffff,201,38,49,10
17,862664c1fffffff,929,272,186,39
18,86275934fffffff,88,394,15,1
19,862664d9fffffff,74,15,17,16
