,id,catering,transportation,entertainment,healthcare
0,882664cad7fffff,12,1,4,0
1,882664cf5dfffff,8,0,0,0
2,882664d9b5fffff,1,0,0,1
3,882664cf1bfffff,1,1,0,0
4,882664cc53fffff,1,0,0,0
5,882664ca49fffff,7,2,1,0
6,882664cc59fffff,13,2,1,2
7,882664ca0dfffff,0,1,3,0
8,882664ca95fffff,7,0,0,1
9,882664d8bbfffff,14,1,3,0
10,882664cf67fffff,0,0,0,0
11,882664ce21fffff,0,0,0,0
12,882664cf05fffff,3,0,0,0
13,88275936b1fffff,1,0,0,0
14,882664c8c9fffff,1,0,0,1
15,882664ca63fffff,1,5,0,0
16,882664d8b9fffff,7,3,2,2
17,882664d8b7fffff,13,1,3,0
18,882664d8e7fffff,4,0,1,0
19,882664d8e3fffff,2,3,0,0
20,882664d83bfffff,0,0,1,0
21,882664cf69fffff,22,1,5,3
22,882664d883fffff,20,3,13,2
23,882664d881fffff,11,1,0,1
24,882664ca29fffff,1,0,0,0
25,882664cf47fffff,1,1,1,0
26,882664cad5fffff,14,0,6,0
27,882664ca1bfffff,12,0,5,0
28,882664cf4bfffff,43,4,4,1
29,882664d8d5fffff,1,2,0,0
30,882664d99dfffff,0,0,0,0
31,882664ca59fffff,3,0,2,2
32,882664ca05fffff,6,9,4,0
33,882664cf4dfffff,16,1,1,0
34,882664ca07fffff,4,0,1,0
35,882664cce5fffff,0,0,0,0
36,882759340bfffff,0,15,0,0
37,882664cab9fffff,1,1,1,0
38,882664c10dfffff,44,1,12,2
39,882664c1e5fffff,47,5,14,2
40,882664ca83fffff,5,0,0,0
41,882664ca5bfffff,12,0,4,0
42,882664cf5bfffff,1,0,0,0
43,882664d889fffff,12,0,3,0
44,882664ca89fffff,21,1,3,0
45,882664d993fffff,6,3,1,0
46,882664ca91fffff,20,1,3,1
47,882664caebfffff,11,0,2,0
48,882664cabdfffff,0,0,1,1
49,882664cc5bfffff,0,1,0,0
50,88275934d3fffff,0,0,0,0
51,882664cf59fffff,0,1,0,0
52,882664ca61fffff,3,0,2,0
53,882664cc0bfffff,3,1,2,0
54,882664c161fffff,32,17,23,1
55,882664ca99fffff,1,1,2,0
56,882664ce37fffff,40,1,5,2
57,882664c137fffff,2,0,5,0
58,882664caedfffff,9,2,3,0
59,88275934edfffff,65,115,12,1
60,882664c115fffff,3,3,1,0
61,882664cf51fffff,3,5,0,0
62,882664cf21fffff,1,1,0,0
63,882664cc55fffff,8,2,2,0
64,882664cab3fffff,0,1,1,0
65,882664ccc7fffff,2,0,0,0
66,882664c12bfffff,16,8,7,1
67,882664ca81fffff,6,2,0,0
68,882664ca57fffff,6,3,9,1
69,882664ca2bfffff,3,10,0,1
70,882664c13bfffff,34,3,11,3
71,882664d8a9fffff,2,1,1,0
72,882664cf53fffff,8,0,0,1
73,882664ca51fffff,13,0,0,1
74,882664ca9bfffff,9,2,2,0
75,882664ca45fffff,3,0,0,0
76,882664ce25fffff,0,0,0,0
77,882664cf1dfffff,1,0,1,0
78,882664cc51fffff,1,4,0,0
79,882664c12dfffff,3,0,2,1
80,882664d9d3fffff,0,0,0,0
81,882664c103fffff,9,6,0,0
82,882664c127fffff,9,0,4,0
83,882664ca0bfffff,5,1,3,0
84,882664ca47fffff,4,1,2,0
85,882664ca8bfffff,3,0,5,0
86,882664c1b5fffff,9,1,6,2
87,882664cac5fffff,13,1,1,1
88,882664c133fffff,5,1,0,0
89,882664cac9fffff,9,4,5,1
90,882759369bfffff,1,0,0,0
91,882664cc21fffff,2,1,0,1
92,882664cb5bfffff,0,0,1,0
93,882664cd33fffff,0,0,0,0
94,882664ca11fffff,29,6,19,1
95,882664c13dfffff,30,5,10,2
96,882664ce27fffff,7,0,1,0
97,882664c163fffff,53,18,21,3
98,882664cac3fffff,33,1,10,2
99,882664c147fffff,0,1,0,0
100,882664ca01fffff,5,2,6,0
101,882664ca97fffff,3,0,0,1
102,882664cae9fffff,5,0,2,0
103,882664d89dfffff,35,1,1,6
104,882664cf45fffff,16,0,5,0
105,882664cc5dfffff,21,1,2,0
106,882664cb4dfffff,0,0,0,0
107,882664c169fffff,14,70,3,4
108,882664c1b1fffff,0,2,0,0
109,882664cad1fffff,11,0,4,0
110,882664cc57fffff,1,1,0,0
111,882664cc95fffff,0,0,0,0
112,882664cab7fffff,0,0,0,0
113,882664c8cbfffff,0,0,0,0
114,882664d9b1fffff,6,3,2,2
115,882664d88bfffff,10,1,1,1
116,882664ca25fffff,2,1,0,0
117,882664caabfffff,0,1,0,0
118,882664c125fffff,4,1,0,0
119,882664ca55fffff,4,4,3,1
120,882664c1e1fffff,159,3,27,4
121,882664ce35fffff,6,0,0,1
122,882664ca3bfffff,4,0,2,1
123,882664ca85fffff,1,1,0,0
124,8827593697fffff,0,0,1,0
125,882664c1abfffff,29,8,6,2
126,882664caddfffff,10,1,4,0
127,882664d895fffff,23,1,6,1
128,882664d8cdfffff,2,2,2,0
129,882664ca69fffff,6,0,1,0
130,882664d997fffff,2,5,0,1
131,882664ca53fffff,1,0,1,0
132,882664d8c7fffff,11,15,6,2
133,882664cacbfffff,24,2,2,1
134,882664cf0bfffff,2,0,1,0
135,882664d9b7fffff,2,0,0,0
136,882664d8b1fffff,34,4,5,1
137,882664cc4bfffff,7,0,1,0
138,882664c167fffff,23,39,6,2
139,882664c123fffff,15,1,6,1
140,882664d81bfffff,4,3,0,1
141,882664ca6bfffff,8,2,4,0
142,882664d8d7fffff,0,2,0,0
143,882664cb49fffff,1,0,0,0
144,882664d98bfffff,0,0,0,0
145,882664c145fffff,1,3,0,0
146,882664cf41fffff,1,0,7,0
147,882664c105fffff,39,1,11,2
148,882664d8b3fffff,13,1,13,2
149,882664d88dfffff,2,0,0,0
150,882664ca41fffff,3,0,5,0
151,882664cad9fffff,4,0,2,0
152,882664c16bfffff,29,56,21,2
153,882664cddbfffff,8,1,0,0
154,882664d8c3fffff,21,1,4,1
155,882664d8b5fffff,20,6,4,1
156,8826645253fffff,0,18,0,0
157,882664d8e9fffff,1,0,0,0
158,882664cf25fffff,0,0,1,0
159,882664d893fffff,6,7,1,0
160,882664cf57fffff,6,5,4,0
161,882664cb53fffff,1,0,0,0
162,8826645219fffff,2,29,1,0
163,882664c165fffff,6,2,5,0
164,882664d8abfffff,8,1,3,1
165,882664d8bdfffff,12,5,1,1
166,882664c1a9fffff,153,114,23,9
167,882664c135fffff,18,3,2,2
168,882664cae3fffff,4,1,1,0
169,882664d9d7fffff,4,0,1,0
170,882664d9abfffff,3,0,0,0
171,882664c8d9fffff,2,1,0,0
172,882664c117fffff,0,0,0,0
173,882664c1e9fffff,13,0,5,0
174,882664d891fffff,4,7,1,1
175,882664cc43fffff,3,0,0,0
176,882664d8edfffff,0,0,0,0
177,882664cae1fffff,0,0,0,1
178,882664d8e5fffff,0,0,0,0
179,882664d8adfffff,3,0,0,0
180,882664c1ebfffff,33,2,5,2
181,882664ca13fffff,22,0,3,1
182,882664cf19fffff,1,1,1,0
183,882664d8a1fffff,0,0,0,0
184,882664cab1fffff,2,0,0,1
185,882664c1e3fffff,82,23,19,7
186,882664cacdfffff,24,8,6,0
187,882664d833fffff,6,0,0,0
188,882664ca17fffff,14,0,6,2
189,882664ca15fffff,15,0,5,3
190,882664cf0dfffff,1,0,1,0
191,882664cc81fffff,0,0,1,0
192,882664caadfffff,1,1,0,0
193,882664c1adfffff,127,13,14,3
194,882664cac7fffff,14,29,11,2
195,882664c1a3fffff,20,3,5,3
196,882664c129fffff,12,0,10,0
197,882664d8c5fffff,10,1,1,0
198,882664c107fffff,59,0,14,1
199,882664c1a7fffff,14,0,0,2
200,882664d897fffff,17,12,3,0
201,882664d9b3fffff,1,0,3,0
202,88275936bbfffff,0,0,0,0
203,882664ce23fffff,0,0,0,0
204,882664cac1fffff,66,21,13,3
205,882664c139fffff,14,0,8,0
206,882664d8c1fffff,23,2,10,0
207,882664ca43fffff,10,0,6,0
208,882664d817fffff,2,0,1,0
209,882664cab5fffff,2,0,0,0
210,882664ca1dfffff,37,3,7,2
211,882664c121fffff,10,0,7,1
212,882664ca4dfffff,10,1,0,1
213,882664d8ebfffff,10,0,1,0
214,882664d8a5fffff,4,0,0,0
215,882664cea1fffff,3,0,0,0
216,882664cca3fffff,0,0,0,0
217,882664ca03fffff,20,1,11,2
218,882664d885fffff,0,0,0,0
219,882664d813fffff,5,0,0,0
220,882664c85bfffff,1,0,0,0
221,882664cf01fffff,6,0,2,0
222,882664c101fffff,20,10,5,5
223,882664c131fffff,21,4,7,1
224,882664ca9dfffff,7,1,2,0
225,882664ca6dfffff,0,2,4,0
226,882664d8e1fffff,11,0,0,0
227,882664ce2dfffff,0,0,0,1
228,882664cb59fffff,0,0,0,0
229,882664c1edfffff,45,1,10,4
230,882664c1e7fffff,139,53,39,1
231,882664c16dfffff,3,0,3,0
232,882664d8a3fffff,9,0,1,0
233,882664cf6bfffff,0,0,0,0
234,882664ca4bfffff,2,0,0,0
