,id,catering,transportation,entertainment,healthcare
0,862664ccfffffff,28,9,5,4
1,862664d87ffffff,177,28,20,16
2,862664d8fffffff,390,88,95,23
3,862664cc7ffffff,123,22,19,10
4,862664c17ffffff,556,258,211,37
5,8626641b7ffffff,3,5,1,0
6,862664c8fffffff,29,10,9,14
7,862664c87ffffff,75,80,8,4
8,862664cdfffffff,40,8,1,3
9,862664cefffffff,22,5,4,0
10,862664527ffffff,41,151,10,2
11,862664cd7ffffff,34,9,13,3
12,86275936fffffff,50,8,7,5
13,862664577ffffff,37,0,8,8
14,862664cafffffff,521,101,127,22
15,862759347ffffff,73,342,10,2
16,862664ce7ffffff,26,3,4,2
17,862664ca7ffffff,325,100,131,38
18,862664cb7ffffff,88,42,24,11
19,86266452fffffff,49,6,2,5
20,86266456fffffff,23,4,0,2
21,862664197ffffff,4,1,2,0
22,862664cf7ffffff,201,38,49,10
23,862664567ffffff,22,13,3,3
24,862664c1fffffff,932,272,185,39
25,86275934fffffff,89,394,15,1
26,862664d9fffffff,74,15,17,16
