,resolution,horizon,mse,mae,r2
0,2,1,222353.06135373635,343.2810718497505,0.8833742664854904
1,2,2,904145.9897921317,690.2763070338578,0.8785573962815295
2,2,6,8865759.094886797,2177.7887752696815,0.8324059058303479
3,2,24,39637344.40685058,4373.196052085141,0.7396380780068645
4,4,1,84079.75896484533,113.40361758574383,0.937671725075759
5,4,2,367279.07636194315,238.73006369974638,0.9308061122572079
6,4,6,3933005.5927752038,765.8345094593703,0.9124624880050709
7,4,24,26906197.716492992,2077.0826945543427,0.9528202397318102
8,5,1,36215.874539485405,64.56524959257794,0.9306069844444081
9,5,2,151493.70302765802,132.693660479974,0.9261011531163049
10,5,6,1493871.2309372171,404.8761643601827,0.9127671369674522
11,5,24,10705102.689061783,1107.7317875421384,0.950657113897586
12,6,1,50414.45393173664,201.95532984090775,0.6537882572045675
13,6,2,293040.9126829604,475.44258406161504,0.4910766898304707
14,6,6,2353250.6089212527,1328.9149127456103,0.5184648664763103
15,6,24,9519073.798803292,1125.240636804444,0.8452064252208866
16,7,1,285037.76229751913,529.9861693003727,-15.08264846680309
17,7,2,75819.24733854405,253.19997850432952,-0.08165945071769909
18,7,6,3217609.115011733,1773.8588524975953,-4.46332305414976
19,7,24,15836310.017029675,3743.9614031284204,-1.2236156588475962
20,8,1,5314.0450749154315,70.7074119607641,-1.7452902512657227
21,8,2,317646.98761512217,562.139655918643,-40.836648347473506
22,8,6,298801.9598771725,489.0536383574838,-3.739656406222588
23,8,24,17641249.93157294,4055.5465312545225,-22.399391045757547
24,0,1,1268.2166484462875,31.356323408716957,-0.25668620030353884
25,0,2,154849.91861171598,392.19427018534424,-38.25258755140593
26,0,6,2011361.7435418998,1415.2800928768488,-61.29903318806309
27,0,24,7561748.852914764,2579.7639556207564,-19.5926307468563
